id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;wilayah_uptd;kategori_jalan;kondisi_jalan;panjang_ruas_jalan;satuan;tahun
71;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;TIDAK MANTAP;RUSAK RINGAN;1.39;KILOMETER;2018
72;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
73;32;JAWA BARAT;3271;KOTA BOGOR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;MANTAP;BAIK;8.55;KILOMETER;2018
74;32;JAWA BARAT;3271;KOTA BOGOR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;MANTAP;SEDANG;2.61;KILOMETER;2018
75;32;JAWA BARAT;3271;KOTA BOGOR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;TIDAK MANTAP;RUSAK RINGAN;0.0;KILOMETER;2018
76;32;JAWA BARAT;3271;KOTA BOGOR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
77;32;JAWA BARAT;3272;KOTA SUKABUMI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II;MANTAP;BAIK;12.86;KILOMETER;2018
78;32;JAWA BARAT;3272;KOTA SUKABUMI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II;MANTAP;SEDANG;18.06;KILOMETER;2018
79;32;JAWA BARAT;3272;KOTA SUKABUMI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II;TIDAK MANTAP;RUSAK RINGAN;1.0;KILOMETER;2018
80;32;JAWA BARAT;3272;KOTA SUKABUMI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II;TIDAK MANTAP;RUSAK BERAT;1.64;KILOMETER;2018
81;32;JAWA BARAT;3273;KOTA BANDUNG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;MANTAP;BAIK;13.17;KILOMETER;2018
